dataset,scmap_cluster,scmap_cell
yan,293.702795634624,119.072549851506
goolam,898.249797767352,289.140818664722
deng-rpkms,920.755293766776,213.535240005533
pollen,790.6878512754,235.700744272965
li,3809.55632435057,667.115723912165
usoskin,2819.40311173975,315.198924731183
kolodziejczyk,5366.41798015178,495.241568796466
xin,8305.46486906922,596.062333699272
tasic-rpkms,3154.47605721393,364.026984112745
baron-mouse,2744.06932139032,228.629778949503
muraro,4668.04046639232,298.526361190713
segerstolpe,7934.11948464525,422.675608208166
klein,11630.8915960452,389.001299084736
zeisel,7307.80813600486,325.768139791698
baron-human,16002.1775553702,358.304538993848
shekhar,54327.7397691501,247.397726853843
macosko,106793.457753682,561.542675911568
